sample_id,filename,source_path,checksum_sha256,movement_label_id,movement_label,participant_id,arm_code,arm,recording_id,split_group,sensor_location,device_model,device_orientation,sampling_rate_hz,original_length,processed_length,channel_names,quality_flag,sample_index,length_strategy,tensor_axis_order
ksas_m0_p01_d,0-1-d.csv,data/raw/KSAS-Dataset/movements/0-1-d.csv,03b04aca12b50142240ba0a959b8eb6fb3040e297ee8ead55db64ec28bcbc05b,0,no movement,P01,d,right,0-1-d,P01,smartphone,XiaoMi Mi A2,,,27,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,0,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p01_i,0-1-i.csv,data/raw/KSAS-Dataset/movements/0-1-i.csv,cb0238a9bb6d389c0d632ed0d0a00c9db9d43b875db54a0c99726decbdaafd99,0,no movement,P01,i,left,0-1-i,P01,smartphone,XiaoMi Mi A2,,,31,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,1,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p10_d,0-10-d.csv,data/raw/KSAS-Dataset/movements/0-10-d.csv,966ad41aad4319ae72e7bfc4fd85e75f1da3738e448b0e1b35842e976fa21e27,0,no movement,P10,d,right,0-10-d,P10,smartphone,XiaoMi Mi A2,,,33,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,2,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p10_i,0-10-i.csv,data/raw/KSAS-Dataset/movements/0-10-i.csv,984aee644372edd96b11d3db3c51c3a73aa1eae5ffa6393f9bd880b9f81b1740,0,no movement,P10,i,left,0-10-i,P10,smartphone,XiaoMi Mi A2,,,43,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,3,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p11_d,0-11-d.csv,data/raw/KSAS-Dataset/movements/0-11-d.csv,1a725169b71b75b7945a3d7076d5c5205b881f8ccdc6c1c0a5c4e2f4472e0319,0,no movement,P11,d,right,0-11-d,P11,smartphone,XiaoMi Mi A2,,,52,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,4,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p11_i,0-11-i.csv,data/raw/KSAS-Dataset/movements/0-11-i.csv,37775341a255ffb08cb1f322154ca9948f7b578b38934ccbce7b054f91cf7737,0,no movement,P11,i,left,0-11-i,P11,smartphone,XiaoMi Mi A2,,,28,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,5,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p12_d,0-12-d.csv,data/raw/KSAS-Dataset/movements/0-12-d.csv,fe2c23b888cb981e15d8f389ca6bbc3972f9d6566dd588c95f70b40605342e27,0,no movement,P12,d,right,0-12-d,P12,smartphone,XiaoMi Mi A2,,,39,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,6,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p12_i,0-12-i.csv,data/raw/KSAS-Dataset/movements/0-12-i.csv,239eb5bd37f4a204c0559f63c8fa430976df0206683847ea7e54dec7606b9f98,0,no movement,P12,i,left,0-12-i,P12,smartphone,XiaoMi Mi A2,,,18,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,7,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p13_d,0-13-d.csv,data/raw/KSAS-Dataset/movements/0-13-d.csv,be9df7840cfc57fc9de918fe88eca8944e92eaa22733db28dbabd36b921be600,0,no movement,P13,d,right,0-13-d,P13,smartphone,XiaoMi Mi A2,,,38,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,8,right_pad_with_zeros,"sample,channel,time"
ksas_m0_p13_i,0-13-i.csv,data/raw/KSAS-Dataset/movements/0-13-i.csv,813a21a2beec7f170d668e4cab415e85f874a456f41aae2fb2b2afce7de7d23f,0,no movement,P13,i,left,0-13-i,P13,smartphone,XiaoMi Mi A2,,,40,56,"[""accelerometer_x"", ""accelerometer_y"", ""accelerometer_z"", ""gravity_x"", ""gravity_y"", ""gravity_z"", ""gyros_x"", ""gyros_y"", ""gyros_z"", ""lin_accel_x"", ""lin_accel_y"", ""lin_accel_z"", ""game_rot_vec_x"", ""game_rot_vec_y"", ""game_rot_vec_z"", ""magn_field_x"", ""magn_field_y"", ""magn_field_z""]",valid,9,right_pad_with_zeros,"sample,channel,time"
