sample_id,filename,channel,min,max,mean,original_length
ksas_m0_p01_d,0-1-d.csv,accelerometer_x,4.511,6.395,5.249592592592593,27
ksas_m0_p01_d,0-1-d.csv,accelerometer_y,-2.772,-1.951,-2.3520370370370367,27
ksas_m0_p01_d,0-1-d.csv,accelerometer_z,5.586,11.564,8.095814814814814,27
ksas_m0_p01_d,0-1-d.csv,gravity_x,5.02,5.199,5.122000000000001,27
ksas_m0_p01_d,0-1-d.csv,gravity_y,-2.53,-2.235,-2.397666666666667,27
ksas_m0_p01_d,0-1-d.csv,gravity_z,7.922,8.123,8.010851851851854,27
ksas_m0_p01_d,0-1-d.csv,gyros_x,-0.088,0.038,-0.03725925925925927,27
ksas_m0_p01_d,0-1-d.csv,gyros_y,-0.081,0.026,-0.013629629629629629,27
ksas_m0_p01_d,0-1-d.csv,gyros_z,-0.029,0.075,0.029407407407407417,27
ksas_m0_p01_d,0-1-d.csv,lin_accel_x,-0.066,0.186,0.0614814814814815,27
ksas_m0_p01_d,0-1-d.csv,lin_accel_y,-0.104,0.123,0.019037037037037036,27
ksas_m0_p01_d,0-1-d.csv,lin_accel_z,-0.658,0.196,-0.07285185185185183,27
ksas_m0_p01_d,0-1-d.csv,game_rot_vec_x,-0.125,0.0,-0.11440740740740742,27
ksas_m0_p01_d,0-1-d.csv,game_rot_vec_y,-0.284,0.0,-0.2683333333333333,27
ksas_m0_p01_d,0-1-d.csv,game_rot_vec_z,0.0,0.036,0.03251851851851854,27
ksas_m0_p01_d,0-1-d.csv,magn_field_x,-2.818,0.435,-0.9321111111111113,27
ksas_m0_p01_d,0-1-d.csv,magn_field_y,20.676,25.868,22.810148148148155,27
ksas_m0_p01_d,0-1-d.csv,magn_field_z,-34.131,-31.018,-32.42755555555556,27
ksas_m0_p01_i,0-1-i.csv,accelerometer_x,-4.135,-3.735,-3.881516129032259,31
ksas_m0_p01_i,0-1-i.csv,accelerometer_y,-1.932,-1.513,-1.6509354838709671,31
ksas_m0_p01_i,0-1-i.csv,accelerometer_z,8.473,9.16,8.715,31
ksas_m0_p01_i,0-1-i.csv,gravity_x,-3.959,-3.878,-3.914580645161291,31
