group_level,group_value,native_importance_mean,native_mean_rank,ablation_normalized_drop_mean,ablation_mean_rank,permutation_normalized_drop_mean,permutation_mean_rank,native_vs_ablation_rank_delta,native_vs_permutation_rank_delta,conflict_flag
channel,gravity_z,0.06977022967595427,1.0,0.11103206320672757,5.9,0.018815655903052744,5.8,4.9,4.8,True
channel,gravity_x,0.06528697165571815,3.8,0.10637838220058926,9.6,0.015122382609750759,6.4,5.8,2.6000000000000005,True
channel,gravity_y,0.0649313026992883,3.8,0.10703206320672745,7.2,0.023938265428686024,5.5,3.4000000000000004,1.7000000000000002,True
channel,gyros_x,0.062357471729783745,5.2,0.06941787288142884,7.7,0.015932966735976287,8.7,2.5,3.499999999999999,True
channel,game_rot_vec_z,0.06171520978652799,5.2,0.047985067863539364,9.4,0.003778489225026705,13.2,4.2,7.999999999999999,True
channel,accelerometer_z,0.06164560930456446,4.6,0.08309171586072171,6.6,0.01652898244782765,6.4,2.0,1.8000000000000007,False
channel,gyros_y,0.059850193292962504,6.0,0.004620216302583361,10.6,0.018142118366680234,11.4,4.6,5.4,True
channel,accelerometer_y,0.05448418029476103,10.0,0.0,12.8,0.0049167567896086575,11.4,2.8000000000000007,1.4000000000000004,False
channel,game_rot_vec_y,0.05428720935702987,10.4,0.058831632258610655,8.5,0.020018747585288932,4.7,1.9000000000000004,5.7,True
channel,magn_field_x,0.053877135102622084,10.8,0.04,11.0,0.001962508353503895,14.9,0.1999999999999993,4.1,True
channel,gyros_z,0.052632930960399296,10.8,0.03456073002428579,9.2,0.005079084452999827,12.6,1.6000000000000014,1.799999999999999,False
channel,magn_field_z,0.05198656849569529,12.0,0.0011966164129364547,10.3,0.005254309495039791,11.4,1.6999999999999993,0.5999999999999996,False
channel,accelerometer_x,0.05151026603238455,12.0,0.0,12.8,0.007843340967511252,8.9,0.8000000000000007,3.0999999999999996,True
channel,game_rot_vec_x,0.05008922991502256,13.6,0.02968877511575361,10.6,0.0073488642111338405,9.3,3.0,4.299999999999999,True
channel,lin_accel_z,0.04947870484899075,13.8,0.09491326491167172,8.0,0.014605997882812546,8.4,5.800000000000001,5.4,True
channel,lin_accel_y,0.04800109982586252,15.6,0.17390831166345036,6.8,0.0048397265347333495,12.4,8.8,3.1999999999999993,True
channel,magn_field_y,0.04763761007247634,15.0,0.0,12.8,0.005955471515570974,11.6,2.1999999999999993,3.4000000000000004,True
channel,lin_accel_x,0.04045807694995626,17.4,0.037343288090973835,11.2,0.00991633149479653,8.0,6.199999999999999,9.399999999999999,True
sensor_family,gravity,0.1999885040309607,1.0,0.0,4.0,0.04869234319379977,2.2,3.0,1.2000000000000002,True
sensor_family,gyros,0.17484059598314555,2.0,0.2,3.4,0.032130504637434616,3.4,1.4,1.4,False
sensor_family,accelerometer,0.16764005563171008,3.4,0.2,3.4,0.02982205288571548,4.0,0.0,0.6000000000000001,False
sensor_family,game_rot_vec,0.1660916490585804,3.6,0.2,3.4,0.038487998329150105,2.8,0.20000000000000018,0.8000000000000003,False
sensor_family,magn_field,0.15350131367079373,5.0,0.2,3.4,0.029839185913137146,4.2,1.6,0.7999999999999998,False
sensor_family,lin_accel,0.13793788162480955,6.0,0.2,3.4,0.021027915040762884,4.4,2.6,1.5999999999999996,False
