fold,group_level,group_value,importance
0,sensor_family,accelerometer,0.1716202435938907
0,sensor_family,gravity,0.18278229964342932
0,sensor_family,gyros,0.1808057064324308
0,sensor_family,lin_accel,0.1429543052921009
0,sensor_family,game_rot_vec,0.16432618104939023
0,sensor_family,magn_field,0.15751126398875806
1,sensor_family,accelerometer,0.16512683386268653
1,sensor_family,gravity,0.19594607779874343
1,sensor_family,gyros,0.1693015466561629
1,sensor_family,lin_accel,0.1436080319433141
1,sensor_family,game_rot_vec,0.1684491634998478
1,sensor_family,magn_field,0.15756834623924526
2,sensor_family,accelerometer,0.16235283297793907
2,sensor_family,gravity,0.2116690164443669
2,sensor_family,gyros,0.1744634700849495
2,sensor_family,lin_accel,0.12952881324478205
2,sensor_family,game_rot_vec,0.172086767534779
2,sensor_family,magn_field,0.14989909971318355
3,sensor_family,accelerometer,0.16779373107748297
3,sensor_family,gravity,0.20077932095178835
3,sensor_family,gyros,0.16985862775050253
3,sensor_family,lin_accel,0.14083711145189978
3,sensor_family,game_rot_vec,0.16378942157147672
3,sensor_family,magn_field,0.15694178719684956
4,sensor_family,accelerometer,0.17130663664655107
4,sensor_family,gravity,0.2087658053164755
4,sensor_family,gyros,0.17977362899168203
4,sensor_family,lin_accel,0.1327611461919509
4,sensor_family,game_rot_vec,0.16180671163740834
4,sensor_family,magn_field,0.14558607121593214
0,axis,x,0.32234078805942523
0,axis,y,0.32559483967318686
0,axis,z,0.3520643722673879
1,axis,x,0.32270584373918093
1,axis,y,0.3165828382826417
1,axis,z,0.36071131797817735
2,axis,x,0.32471970209885187
2,axis,y,0.335776797741814
2,axis,z,0.3395035001593341
3,axis,x,0.3199670933194291
3,axis,y,0.33563980126814363
3,axis,z,0.34439310541242724
4,axis,x,0.32816232971054965
4,axis,y,0.3323637007461167
4,axis,z,0.3394739695433337
0,channel,accelerometer_x,0.05340327764211528
0,channel,accelerometer_y,0.0546036467816055
0,channel,accelerometer_z,0.06361331917016991
0,channel,gravity_x,0.06221141293372566
0,channel,gravity_y,0.055896695416580884
0,channel,gravity_z,0.06467419129312277
0,channel,gyros_x,0.0636870212301663
0,channel,gyros_y,0.06365307673778091
0,channel,gyros_z,0.05346560846448357
0,channel,lin_accel_x,0.03935338844768355
0,channel,lin_accel_y,0.05234926662147044
0,channel,lin_accel_z,0.05125165022294691
0,channel,game_rot_vec_x,0.0494495584588742
0,channel,game_rot_vec_y,0.05274235429511672
0,channel,game_rot_vec_z,0.062134268295399316
0,channel,magn_field_x,0.05423612934686024
0,channel,magn_field_y,0.046349799820632386
0,channel,magn_field_z,0.056925334821265425
1,channel,accelerometer_x,0.05325921159185072
1,channel,accelerometer_y,0.05038892135302804
1,channel,accelerometer_z,0.06147870091780776
1,channel,gravity_x,0.0671617709326423
1,channel,gravity_y,0.05966591660991134
1,channel,gravity_z,0.06911839025618977
1,channel,gyros_x,0.05575853444083477
1,channel,gyros_y,0.05615296055908691
1,channel,gyros_z,0.05739005165624123
1,channel,lin_accel_x,0.039966867805949095
1,channel,lin_accel_y,0.04716061405753927
1,channel,lin_accel_z,0.056480550079825734
1,channel,game_rot_vec_x,0.05045959953846358
1,channel,game_rot_vec_y,0.05742371420747978
1,channel,game_rot_vec_z,0.06056584975390444
1,channel,magn_field_x,0.05609985942944049
1,channel,magn_field_y,0.04579071149559636
1,channel,magn_field_z,0.05567777531420842
2,channel,accelerometer_x,0.05019667711548277
2,channel,accelerometer_y,0.05386964980320146
2,channel,accelerometer_z,0.058286506059254825
2,channel,gravity_x,0.0666474929157982
2,channel,gravity_y,0.07248737208813794
2,channel,gravity_z,0.07253415144043075
2,channel,gyros_x,0.06714597782880512
2,channel,gyros_y,0.05767775732849389
2,channel,gyros_z,0.04963973492765048
2,channel,lin_accel_x,0.03809802828184007
2,channel,lin_accel_y,0.046986993594353134
2,channel,lin_accel_z,0.044443791368588836
2,channel,game_rot_vec_x,0.053922724903254095
2,channel,game_rot_vec_y,0.05573067832674526
2,channel,game_rot_vec_z,0.06243336430477964
2,channel,magn_field_x,0.048708801053671605
2,channel,magn_field_y,0.04902434660088235
2,channel,magn_field_z,0.052165952058629596
3,channel,accelerometer_x,0.052738163629528954
3,channel,accelerometer_y,0.05533456566502632
3,channel,accelerometer_z,0.05972100178292769
3,channel,gravity_x,0.06549074190500642
3,channel,gravity_y,0.06572222633261889
3,channel,gravity_z,0.06956635271416306
3,channel,gyros_x,0.0581758120123738
3,channel,gyros_y,0.06033381894834605
3,channel,gyros_z,0.05134899678978269
3,channel,lin_accel_x,0.03888804478439333
3,channel,lin_accel_y,0.050967162879710544
3,channel,lin_accel_z,0.050981903787795914
3,channel,game_rot_vec_x,0.05044608876174771
3,channel,game_rot_vec_y,0.04934598819388685
3,channel,game_rot_vec_z,0.06399734461584218
3,channel,magn_field_x,0.054228242226378856
3,channel,magn_field_y,0.053936039248554994
