method,fold,group_level,group_value,baseline_macro_f1,metric_macro_f1,macro_f1_drop,baseline_balanced_accuracy,metric_balanced_accuracy,balanced_accuracy_drop,repeat,positive_macro_f1_drop,normalized_positive_drop
permutation,0,sensor_family,accelerometer,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,0,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,accelerometer,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,1,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,accelerometer,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,2,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,accelerometer,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,3,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,accelerometer,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,4,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,game_rot_vec,1.0,0.9367569249922191,0.06324307500778092,1.0,0.9375,0.0625,0,0.06324307500778092,0.049921174482003956
permutation,0,sensor_family,game_rot_vec,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,1,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,game_rot_vec,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,2,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,game_rot_vec,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,3,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,game_rot_vec,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,4,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,gravity,1.0,0.9111111111111111,0.0888888888888889,1.0,0.9166666666666666,0.08333333333333337,0,0.0888888888888889,0.07016480035462758
permutation,0,sensor_family,gravity,1.0,0.9565826330532213,0.04341736694677867,1.0,0.9583333333333334,0.04166666666666663,1,0.04341736694677867,0.03427167244212372
permutation,0,sensor_family,gravity,1.0,0.9387635756056808,0.0612364243943192,1.0,0.9375,0.0625,2,0.0612364243943192,0.04833721678565983
permutation,0,sensor_family,gravity,1.0,0.9063180827886711,0.0936819172113289,1.0,0.9166666666666666,0.08333333333333337,3,0.0936819172113289,0.07394819645218095
permutation,0,sensor_family,gravity,1.0,0.9183201058201059,0.08167989417989407,1.0,0.9166666666666666,0.08333333333333337,4,0.08167989417989407,0.06447435151634295
permutation,0,sensor_family,gyros,1.0,0.9332160214513155,0.06678397854868445,1.0,0.9375,0.0625,0,0.06678397854868445,0.052716200869756966
permutation,0,sensor_family,gyros,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,gyros,1.0,0.9583333333333334,0.04166666666666663,1.0,0.9583333333333334,0.04166666666666663,2,0.04166666666666663,0.03288975016623164
permutation,0,sensor_family,gyros,1.0,0.9583333333333334,0.04166666666666663,1.0,0.9583333333333334,0.04166666666666663,3,0.04166666666666663,0.03288975016623164
permutation,0,sensor_family,gyros,1.0,0.9137254901960784,0.0862745098039216,1.0,0.9166666666666666,0.08333333333333337,4,0.0862745098039216,0.06810112975596207
permutation,0,sensor_family,lin_accel,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,lin_accel,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
permutation,0,sensor_family,lin_accel,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,2,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,lin_accel,1.0,1.0,0.0,1.0,1.0,0.0,3,0.0,0.0
permutation,0,sensor_family,lin_accel,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,magn_field,1.0,0.9581699346405229,0.04183006535947709,1.0,0.9583333333333334,0.04166666666666663,0,0.04183006535947709,0.03301872957864824
permutation,0,sensor_family,magn_field,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,magn_field,1.0,0.9581699346405229,0.04183006535947709,1.0,0.9583333333333334,0.04166666666666663,2,0.04183006535947709,0.03301872957864824
permutation,0,sensor_family,magn_field,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.016509364789324073
permutation,0,sensor_family,magn_field,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.016509364789324073
permutation,0,channel,accelerometer_x,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0
permutation,0,channel,accelerometer_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,1,0.020915032679738488,0.01647907010961523
permutation,0,channel,accelerometer_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,2,0.020915032679738488,0.01647907010961523
permutation,0,channel,accelerometer_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,3,0.020915032679738488,0.01647907010961523
permutation,0,channel,accelerometer_x,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,4,0.020915032679738488,0.01647907010961523
permutation,0,channel,accelerometer_y,1.0,0.9790849673202615,0.020915032679738488,1.0,0.9791666666666666,0.02083333333333337,0,0.020915032679738488,0.01647907010961523
