class_label,group_level,group_value,fold_count,importance_mean,importance_std,importance_min,importance_max
0,temporal_scale_bin,long,5,0.950854073596737,0.01345276279831963,0.9261767057802065,0.9646541354148194
0,temporal_scale_bin,intermediate,5,0.04149634806958006,0.011945657268838672,0.031638845211352656,0.0648698305674886
0,temporal_scale_bin,short,5,0.007649578333682903,0.0036329615150707466,0.0037070193738279657,0.013847491925784118
1,temporal_scale_bin,long,5,0.6064726341776717,0.020042938403703376,0.5752971266700002,0.6299583360335926
1,temporal_scale_bin,intermediate,5,0.24859288842127997,0.013756426077414756,0.23188464495106492,0.2718262597366461
1,temporal_scale_bin,short,5,0.1449344774010483,0.007472692120230586,0.13548574862790827,0.1539036626348963
2,temporal_scale_bin,long,5,0.5322455153246256,0.03530509328027744,0.4951630840789094,0.5899423963419318
2,temporal_scale_bin,intermediate,5,0.2996190902294197,0.023137350321995875,0.2630888977939428,0.3200569577731369
2,temporal_scale_bin,short,5,0.16813539444595474,0.02249640588714998,0.13553429242974793,0.1918318950075308
3,temporal_scale_bin,long,5,0.5297755661394445,0.027952115687036667,0.477128490234299,0.5566626656968221
3,temporal_scale_bin,intermediate,5,0.33769151554818233,0.026129116832650404,0.31863722706581427,0.3874637761569798
3,temporal_scale_bin,short,5,0.13253291831237307,0.00822779394346313,0.12071502893437117,0.14588428643976473
4,temporal_scale_bin,long,5,0.5116118589477324,0.030102853784822702,0.47623149089288225,0.5496660632451478
4,temporal_scale_bin,intermediate,5,0.3413936605584913,0.03179249507580473,0.3028896809919612,0.3930109064369801
4,temporal_scale_bin,short,5,0.14699448049377625,0.010476950810034583,0.13075760267013764,0.16378891672787557
5,temporal_scale_bin,long,5,0.6967530798583026,0.024968876379069343,0.6552518373704749,0.7333254488678058
5,temporal_scale_bin,intermediate,5,0.23291828738937373,0.016441748944853275,0.2198962493252201,0.26456754639167496
5,temporal_scale_bin,short,5,0.07032863275232355,0.0142589044282699,0.0434101129302683,0.08273768223863982
