fold,group_level,group_value,importance
0,dilation,1,0.0660701961075225
0,dilation,2,0.06245948778589162
0,dilation,3,0.07300968679148268
0,dilation,4,0.1408922750431065
0,dilation,5,0.2552258870479707
0,dilation,6,0.402342467224026
1,dilation,1,0.05869782004493954
1,dilation,2,0.055480705993107234
1,dilation,3,0.07106604238507853
1,dilation,4,0.14291353000461185
1,dilation,5,0.2562010141665129
1,dilation,6,0.41564088740574995
2,dilation,1,0.06219062393016717
2,dilation,2,0.05542051921432899
2,dilation,3,0.07941921322370205
2,dilation,4,0.15057292427147848
2,dilation,5,0.25010649120571354
2,dilation,6,0.40229022815460974
3,dilation,1,0.06061634337894672
3,dilation,2,0.06204041353049358
3,dilation,3,0.08727217242004755
3,dilation,4,0.1396831070819054
3,dilation,5,0.24344819297385362
3,dilation,6,0.4069397706147531
4,dilation,1,0.06229660049425579
4,dilation,2,0.06363029712015111
4,dilation,3,0.08760787004060543
4,dilation,4,0.14611578171051362
4,dilation,5,0.24194561867090342
4,dilation,6,0.39840383196357065
