group_level,left_fold,right_fold,spearman_rank_correlation
dilation,0,1,1.0
dilation,0,2,1.0
dilation,0,3,0.942857142857143
dilation,0,4,0.942857142857143
dilation,1,2,1.0
dilation,1,3,0.942857142857143
dilation,1,4,0.942857142857143
dilation,2,3,0.942857142857143
dilation,2,4,0.942857142857143
dilation,3,4,1.0
temporal_scale_bin,0,1,1.0
temporal_scale_bin,0,2,1.0
temporal_scale_bin,0,3,1.0
temporal_scale_bin,0,4,1.0
temporal_scale_bin,1,2,1.0
temporal_scale_bin,1,3,1.0
temporal_scale_bin,1,4,1.0
temporal_scale_bin,2,3,1.0
temporal_scale_bin,2,4,1.0
temporal_scale_bin,3,4,1.0
