pattern_rank,feature_index,fold,sample_index,sample_id,participant_id,arm_code,y_true,y_pred,correct,feature_value
1,8164,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
2,8429,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
3,7931,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0535714291036129
4,6206,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.1785714328289032
5,8463,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
6,8405,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
7,7909,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0535714291036129
8,8453,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
9,8485,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
10,6196,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0892857164144516
11,7944,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.6428571343421936
12,8533,0,0,ksas_m0_p01_d,P01,d,0,0,True,0.0
1,8164,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
2,8429,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
3,7931,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0535714291036129
4,6206,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0892857164144516
5,8463,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
6,8405,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
7,7909,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
8,8453,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
9,8485,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
10,6196,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
11,7944,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.6428571343421936
12,8533,0,1,ksas_m0_p01_i,P01,i,0,0,True,0.0
1,8164,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
2,8429,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
3,7931,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.1428571492433548
4,6206,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.3571428656578064
5,8463,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
6,8405,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
7,7909,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.1785714328289032
8,8453,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
9,8485,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
10,6196,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.1785714328289032
11,7944,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.5714285969734192
12,8533,0,8,ksas_m0_p13_d,P13,d,0,0,True,0.0
1,8164,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.0
2,8429,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.0
3,7931,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.1785714328289032
4,6206,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.3571428656578064
5,8463,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.0
6,8405,0,9,ksas_m0_p13_i,P13,i,0,0,True,0.0
