axis,importance,rank,fold,arm_code,train_sample_count,test_sample_count
x,0.34370140521644754,1.0,0,d,96,24
z,0.32941759714708374,2.0,0,d,96,24
y,0.32688099763646866,3.0,0,d,96,24
z,0.3589818181317997,1.0,0,i,96,24
y,0.32730692845440995,2.0,0,i,96,24
x,0.31371125341379036,3.0,0,i,96,24
x,0.3419950895172637,1.0,1,d,96,24
z,0.33185785875870244,2.0,1,d,96,24
y,0.3261470517240338,3.0,1,d,96,24
z,0.35331443520337547,1.0,1,i,96,24
y,0.33027117684201857,2.0,1,i,96,24
x,0.31641438795460597,3.0,1,i,96,24
x,0.3480492986279009,1.0,2,d,96,24
z,0.32990470264660615,2.0,2,d,96,24
y,0.32204599872549294,3.0,2,d,96,24
z,0.34566263817886284,1.0,2,i,96,24
y,0.33068955103395864,2.0,2,i,96,24
x,0.32364781078717847,3.0,2,i,96,24
y,0.3364721438830676,1.0,3,d,96,24
z,0.335421513441831,2.0,3,d,96,24
x,0.32810634267510136,3.0,3,d,96,24
z,0.34653067396536763,1.0,3,i,96,24
y,0.32886446570984434,2.0,3,i,96,24
x,0.324604860324788,3.0,3,i,96,24
y,0.3426568036077523,1.0,4,d,96,24
x,0.3336776488474461,2.0,4,d,96,24
z,0.3236655475448016,3.0,4,d,96,24
z,0.3402217118909331,1.0,4,i,96,24
y,0.3332104597275985,2.0,4,i,96,24
x,0.3265678283814684,3.0,4,i,96,24
