model,fold,true_label,predicted_label,count
xrocket_random_forest,0,0,0,8
xrocket_random_forest,0,0,1,0
xrocket_random_forest,0,0,2,0
xrocket_random_forest,0,0,3,0
xrocket_random_forest,0,0,4,0
xrocket_random_forest,0,0,5,0
xrocket_random_forest,0,1,0,0
xrocket_random_forest,0,1,1,8
xrocket_random_forest,0,1,2,0
xrocket_random_forest,0,1,3,0
xrocket_random_forest,0,1,4,0
xrocket_random_forest,0,1,5,0
xrocket_random_forest,0,2,0,0
xrocket_random_forest,0,2,1,0
xrocket_random_forest,0,2,2,8
xrocket_random_forest,0,2,3,0
xrocket_random_forest,0,2,4,0
xrocket_random_forest,0,2,5,0
xrocket_random_forest,0,3,0,0
xrocket_random_forest,0,3,1,0
xrocket_random_forest,0,3,2,0
xrocket_random_forest,0,3,3,8
xrocket_random_forest,0,3,4,0
xrocket_random_forest,0,3,5,0
xrocket_random_forest,0,4,0,0
xrocket_random_forest,0,4,1,0
xrocket_random_forest,0,4,2,0
xrocket_random_forest,0,4,3,0
xrocket_random_forest,0,4,4,8
xrocket_random_forest,0,4,5,0
xrocket_random_forest,0,5,0,0
xrocket_random_forest,0,5,1,0
xrocket_random_forest,0,5,2,0
xrocket_random_forest,0,5,3,0
xrocket_random_forest,0,5,4,0
xrocket_random_forest,0,5,5,8
xrocket_logistic_regression,0,0,0,8
xrocket_logistic_regression,0,0,1,0
xrocket_logistic_regression,0,0,2,0
xrocket_logistic_regression,0,0,3,0
xrocket_logistic_regression,0,0,4,0
xrocket_logistic_regression,0,0,5,0
xrocket_logistic_regression,0,1,0,0
xrocket_logistic_regression,0,1,1,8
xrocket_logistic_regression,0,1,2,0
xrocket_logistic_regression,0,1,3,0
xrocket_logistic_regression,0,1,4,0
xrocket_logistic_regression,0,1,5,0
xrocket_logistic_regression,0,2,0,0
xrocket_logistic_regression,0,2,1,1
xrocket_logistic_regression,0,2,2,7
xrocket_logistic_regression,0,2,3,0
xrocket_logistic_regression,0,2,4,0
xrocket_logistic_regression,0,2,5,0
xrocket_logistic_regression,0,3,0,0
xrocket_logistic_regression,0,3,1,0
xrocket_logistic_regression,0,3,2,0
xrocket_logistic_regression,0,3,3,8
xrocket_logistic_regression,0,3,4,0
xrocket_logistic_regression,0,3,5,0
xrocket_logistic_regression,0,4,0,0
xrocket_logistic_regression,0,4,1,0
xrocket_logistic_regression,0,4,2,0
xrocket_logistic_regression,0,4,3,0
xrocket_logistic_regression,0,4,4,8
xrocket_logistic_regression,0,4,5,0
xrocket_logistic_regression,0,5,0,0
xrocket_logistic_regression,0,5,1,0
xrocket_logistic_regression,0,5,2,1
xrocket_logistic_regression,0,5,3,0
xrocket_logistic_regression,0,5,4,0
xrocket_logistic_regression,0,5,5,7
xrocket_random_forest,1,0,0,8
xrocket_random_forest,1,0,1,0
xrocket_random_forest,1,0,2,0
xrocket_random_forest,1,0,3,0
xrocket_random_forest,1,0,4,0
xrocket_random_forest,1,0,5,0
xrocket_random_forest,1,1,0,0
xrocket_random_forest,1,1,1,7
xrocket_random_forest,1,1,2,0
xrocket_random_forest,1,1,3,1
xrocket_random_forest,1,1,4,0
xrocket_random_forest,1,1,5,0
xrocket_random_forest,1,2,0,0
xrocket_random_forest,1,2,1,0
xrocket_random_forest,1,2,2,6
xrocket_random_forest,1,2,3,2
xrocket_random_forest,1,2,4,0
xrocket_random_forest,1,2,5,0
xrocket_random_forest,1,3,0,1
xrocket_random_forest,1,3,1,0
xrocket_random_forest,1,3,2,2
xrocket_random_forest,1,3,3,5
xrocket_random_forest,1,3,4,0
xrocket_random_forest,1,3,5,0
xrocket_random_forest,1,4,0,0
xrocket_random_forest,1,4,1,0
xrocket_random_forest,1,4,2,0
xrocket_random_forest,1,4,3,0
xrocket_random_forest,1,4,4,8
xrocket_random_forest,1,4,5,0
xrocket_random_forest,1,5,0,0
xrocket_random_forest,1,5,1,0
xrocket_random_forest,1,5,2,0
xrocket_random_forest,1,5,3,0
xrocket_random_forest,1,5,4,0
xrocket_random_forest,1,5,5,8
xrocket_logistic_regression,1,0,0,6
xrocket_logistic_regression,1,0,1,0
xrocket_logistic_regression,1,0,2,2
xrocket_logistic_regression,1,0,3,0
xrocket_logistic_regression,1,0,4,0
xrocket_logistic_regression,1,0,5,0
xrocket_logistic_regression,1,1,0,0
xrocket_logistic_regression,1,1,1,6
xrocket_logistic_regression,1,1,2,1
xrocket_logistic_regression,1,1,3,0
xrocket_logistic_regression,1,1,4,1
xrocket_logistic_regression,1,1,5,0
xrocket_logistic_regression,1,2,0,0
xrocket_logistic_regression,1,2,1,0
xrocket_logistic_regression,1,2,2,6
xrocket_logistic_regression,1,2,3,2
xrocket_logistic_regression,1,2,4,0
xrocket_logistic_regression,1,2,5,0
xrocket_logistic_regression,1,3,0,0
xrocket_logistic_regression,1,3,1,0
xrocket_logistic_regression,1,3,2,1
xrocket_logistic_regression,1,3,3,7
xrocket_logistic_regression,1,3,4,0
xrocket_logistic_regression,1,3,5,0
xrocket_logistic_regression,1,4,0,0
xrocket_logistic_regression,1,4,1,0
xrocket_logistic_regression,1,4,2,0
xrocket_logistic_regression,1,4,3,0
xrocket_logistic_regression,1,4,4,8
xrocket_logistic_regression,1,4,5,0
xrocket_logistic_regression,1,5,0,0
xrocket_logistic_regression,1,5,1,0
xrocket_logistic_regression,1,5,2,0
xrocket_logistic_regression,1,5,3,0
xrocket_logistic_regression,1,5,4,1
xrocket_logistic_regression,1,5,5,7
xrocket_random_forest,2,0,0,8
xrocket_random_forest,2,0,1,0
xrocket_random_forest,2,0,2,0
xrocket_random_forest,2,0,3,0
xrocket_random_forest,2,0,4,0
xrocket_random_forest,2,0,5,0
xrocket_random_forest,2,1,0,0
xrocket_random_forest,2,1,1,7
xrocket_random_forest,2,1,2,0
xrocket_random_forest,2,1,3,0
xrocket_random_forest,2,1,4,0
xrocket_random_forest,2,1,5,1
xrocket_random_forest,2,2,0,0
xrocket_random_forest,2,2,1,0
xrocket_random_forest,2,2,2,5
xrocket_random_forest,2,2,3,1
xrocket_random_forest,2,2,4,0
xrocket_random_forest,2,2,5,2
xrocket_random_forest,2,3,0,0
xrocket_random_forest,2,3,1,0
xrocket_random_forest,2,3,2,0
xrocket_random_forest,2,3,3,6
xrocket_random_forest,2,3,4,2
xrocket_random_forest,2,3,5,0
xrocket_random_forest,2,4,0,0
xrocket_random_forest,2,4,1,0
xrocket_random_forest,2,4,2,0
xrocket_random_forest,2,4,3,0
xrocket_random_forest,2,4,4,6
xrocket_random_forest,2,4,5,2
xrocket_random_forest,2,5,0,0
xrocket_random_forest,2,5,1,0
xrocket_random_forest,2,5,2,2
xrocket_random_forest,2,5,3,0
xrocket_random_forest,2,5,4,0
xrocket_random_forest,2,5,5,6
xrocket_logistic_regression,2,0,0,8
xrocket_logistic_regression,2,0,1,0
xrocket_logistic_regression,2,0,2,0
xrocket_logistic_regression,2,0,3,0
xrocket_logistic_regression,2,0,4,0
xrocket_logistic_regression,2,0,5,0
xrocket_logistic_regression,2,1,0,0
xrocket_logistic_regression,2,1,1,8
xrocket_logistic_regression,2,1,2,0
xrocket_logistic_regression,2,1,3,0
xrocket_logistic_regression,2,1,4,0
xrocket_logistic_regression,2,1,5,0
xrocket_logistic_regression,2,2,0,0
xrocket_logistic_regression,2,2,1,0
xrocket_logistic_regression,2,2,2,5
xrocket_logistic_regression,2,2,3,1
xrocket_logistic_regression,2,2,4,0
